sequence_id,pattern_type,memory_history_length,page_sequence_length,current_memory_pressure,next_page_faults,next_page_faults_normalized,pattern_confidence,memory_stability,historical_accuracy
mixed_24,mixed,30,30,0.23682880401611328,6512274,0.9303248571428572,0.65,0.7158636484175463,0.6381437692414633
sequential_219,sequential,53,53,0.20661866664886475,6656742,0.9509631428571429,0.85,0.7702591299998421,0.6153780060586043
mixed_248,mixed,47,47,0.23832690715789795,6636486,0.9480694285714286,0.65,0.8846889516330335,0.620127478355706
random_207,random,24,24,0.23349380493164062,6585413,0.9407732857142858,0.35,0.8720414931872038,0.7826558801240184
mixed_189,mixed,28,28,0.19059884548187256,6549821,0.9356887142857143,0.65,0.7474007038042652,0.7205574950385082
sequential_217,sequential,44,44,0.22750091552734375,6578061,0.939723,0.85,0.7744518138233024,0.6335216799072674
sequential_246,sequential,33,33,0.21886920928955078,6560060,0.9371514285714285,0.85,0.8740597802854118,0.6873172511838143
locality_18,locality,70,70,0.18948304653167725,6761025,0.9658607142857143,0.75,0.8245061013337855,0.6700792969180239
random_44,random,26,26,0.24551379680633545,6613530,0.94479,0.35,0.7764391185390156,0.7404925648617389
mixed_231,mixed,48,48,0.23638319969177246,6552769,0.9361098571428571,0.65,0.8818123015175389,0.7328844460843034
mixed_69,mixed,35,35,0.21908676624298096,6670281,0.9528972857142857,0.65,0.7415450322708392,0.6866154623327647
locality_34,locality,64,64,0.23612761497497559,6675283,0.9536118571428571,0.75,0.8370887987207298,0.6041133055514174
random_28,random,29,29,0.1991497278213501,6617081,0.9452972857142857,0.35,0.7527341830631189,0.7055692058348513
locality_246,locality,57,57,0.22648608684539795,6732407,0.9617724285714285,0.75,0.7061150549136783,0.7313290285762032
random_138,random,36,36,0.1917628049850464,6649315,0.9499021428571428,0.35,0.7152839388824161,0.7643505858066243
mixed_49,mixed,25,25,0.1938326358795166,6587807,0.9411152857142857,0.65,0.8179802880562385,0.7659704678340946
mixed_84,mixed,50,50,0.21414971351623535,6702629,0.9575184285714285,0.65,0.8416731706511378,0.6086918973531728
locality_173,locality,36,36,0.21042466163635254,6588103,0.9411575714285715,0.75,0.7619760430052196,0.7448705163055098
mixed_202,mixed,26,26,0.2074364423751831,6522522,0.9317888571428572,0.65,0.7665729478532503,0.7287166266017603
locality_150,locality,41,41,0.238084077835083,6694853,0.9564075714285715,0.75,0.776238524525757,0.7981134122994746
random_155,random,24,24,0.23877131938934326,6616638,0.945234,0.35,0.7479565997949806,0.6599311084286283
random_218,random,28,28,0.2427077293395996,6556813,0.9366875714285714,0.35,0.8457645716405506,0.6691709811088913
random_29,random,40,40,0.24764609336853027,6699508,0.9570725714285714,0.35,0.7573334645675248,0.7499246247226103
locality_58,locality,61,61,0.19001662731170654,6631537,0.9473624285714286,0.75,0.8398278340319972,0.7243786267883289
mixed_181,mixed,26,26,0.24005138874053955,6606684,0.943812,0.65,0.7048090420241201,0.6386655534200474
mixed_97,mixed,27,27,0.23084115982055664,6603958,0.9434225714285714,0.65,0.7118675593783955,0.7286058794116403
locality_143,locality,59,59,0.2047950029373169,6654779,0.9506827142857143,0.75,0.7874778837010254,0.7824746534516591
mixed_195,mixed,49,49,0.1982020139694214,6549846,0.9356922857142858,0.65,0.7681013735955605,0.7030901679718491
locality_106,locality,54,54,0.2351665496826172,6602950,0.9432785714285714,0.75,0.833559228553269,0.7399996776603531
sequential_247,sequential,40,40,0.21914875507354736,6531990,0.9331414285714286,0.85,0.7135688206782559,0.6272039921085427
locality_82,locality,70,70,0.24202871322631836,6718642,0.959806,0.75,0.8830447687704375,0.6478337645154059
random_82,random,27,27,0.2375805377960205,6695889,0.9565555714285714,0.35,0.853993632528989,0.664757676254258
locality_62,locality,40,40,0.2149648666381836,6665207,0.9521724285714286,0.75,0.7003423106315634,0.6320204342488854
locality_74,locality,63,63,0.2418842315673828,6629302,0.9470431428571429,0.75,0.7886250940268027,0.6553805017520868
