timestep,page_faults,page_faults_normalized,major_faults,major_faults_normalized,memory_available,mem_pressure
0,6461379,0.9230541428571428,15954,0.997125,6625839,0.2101384401321411
1,6463425,0.9233464285714286,15954,0.997125,6588591,0.2145787477493286
2,6465059,0.9235798571428572,15955,0.9971875,6676306,0.20412230491638184
3,6467115,0.9238735714285714,15955,0.9971875,6600249,0.2131890058517456
4,6469454,0.9242077142857142,15956,0.99725,6554141,0.21868550777435303
5,6470685,0.9243835714285714,15956,0.99725,6645196,0.20783090591430664
6,6470782,0.9243974285714286,15957,0.9973125,6379056,0.23955726623535156
7,6473891,0.9248415714285714,15957,0.9973125,6327411,0.24571382999420166
8,6473782,0.924826,15958,0.997375,6437415,0.23260033130645752
9,6475715,0.9251021428571429,15958,0.997375,6605766,0.21253132820129395
10,6480641,0.9258058571428571,15959,0.9974375,6459819,0.22992956638336182
11,6484848,0.9264068571428571,15959,0.9974375,6622326,0.210557222366333
12,6485241,0.926463,15960,0.9975,6564380,0.21746492385864258
13,6484077,0.9262967142857143,15960,0.9975,6513519,0.22352802753448486
14,6486404,0.9266291428571428,15961,0.9975625,6569200,0.2168903350830078
15,6484040,0.9262914285714285,15961,0.9975625,6415706,0.23518824577331543
16,6495009,0.9278584285714285,15962,0.997625,6644354,0.2079312801361084
17,6498361,0.9283372857142858,15962,0.997625,6707257,0.2004326581954956
18,6489636,0.9270908571428571,15963,0.9976875,6574501,0.21625840663909912
19,6497774,0.9282534285714286,15963,0.9976875,6430505,0.23342406749725342
20,6498500,0.9283571428571429,15964,0.99775,6576295,0.21604454517364502
21,6500358,0.9286225714285714,15964,0.99775,6687791,0.2027531862258911
22,6494832,0.9278331428571429,15965,0.9978125,6689794,0.2025144100189209
23,6511079,0.9301541428571428,15965,0.9978125,6473413,0.2283090353012085
24,6503804,0.9291148571428571,15966,0.997875,6488014,0.22656846046447754
25,6514429,0.9306327142857143,15966,0.997875,6406506,0.23628497123718262
26,6501171,0.9287387142857143,15967,0.9979375,6376636,0.23984575271606445
27,6508808,0.9298297142857143,15967,0.9979375,6761137,0.1940096616744995
28,6520565,0.9315092857142857,15968,0.998,6337551,0.24450504779815674
29,6510197,0.9300281428571429,15968,0.998,6401944,0.23682880401611328
