PID,COMM,VA,PFN,mapping,folio_index,start_ns,latency_ns
1752,pipewire-pulse,0x7029fa775000,0x9e2f1,000000001fdf32c9,0,8.0418E+12,1121761
1752,pipewire-pulse,0x7029fa776000,0x14e52,000000001fdf32c9,1,8.0418E+12,1135929
1752,pipewire-pulse,0x7029fa777000,0x597d5,000000001fdf32c9,2,8.0418E+12,1139936
1752,pipewire-pulse,0x7029fa778000,0x3583d,000000001fdf32c9,3,8.0418E+12,1142859
1752,pipewire-pulse,0x7029fa779000,0x14e67,000000001fdf32c9,4,8.0418E+12,1145838
1752,pipewire-pulse,0x7029fa77a000,0xd32fc,000000001fdf32c9,5,8.0418E+12,1148976
1752,pipewire-pulse,0x7029fa77b000,0x99202,000000001fdf32c9,6,8.0418E+12,1151859
1752,pipewire-pulse,0x7029fa77c000,0x578bb,000000001fdf32c9,7,8.0418E+12,1154921
1752,pipewire-pulse,0x7029fa76c000,0x578bd,00000000b99e754f,0,8.0418E+12,1174555
1752,pipewire-pulse,0x7029fa76d000,0x9e2fd,00000000b99e754f,1,8.0418E+12,1177642
1752,pipewire-pulse,0x7029fa76e000,0x35824,00000000b99e754f,2,8.0418E+12,1180654
1752,pipewire-pulse,0x7029fa76f000,0xb41e7,00000000b99e754f,3,8.0418E+12,1182497
1752,pipewire-pulse,0x7029fa771000,0x14e45,00000000b99e754f,5,8.0418E+12,1185376
1752,pipewire-pulse,0x7029fa772000,0x32f4,00000000b99e754f,6,8.0418E+12,1186915
1752,pipewire-pulse,0x7029fa773000,0xd2118,00000000b99e754f,7,8.0418E+12,1188707
1752,pipewire-pulse,0x7029fa775000,0x52ff9,000000001fdf32c9,0,8.04834E+12,4868772
1752,pipewire-pulse,0x7029fa776000,0xa4a54,000000001fdf32c9,1,8.04834E+12,4881588
1752,pipewire-pulse,0x7029fa777000,0x97c91,000000001fdf32c9,2,8.04834E+12,4885562
1752,pipewire-pulse,0x7029fa778000,0x2d80,000000001fdf32c9,3,8.04834E+12,4889006
1752,pipewire-pulse,0x7029fa779000,0xd132f,000000001fdf32c9,4,8.04834E+12,4957967
1752,pipewire-pulse,0x7029fa77a000,0x97c9f,000000001fdf32c9,5,8.04834E+12,4961652
1752,pipewire-pulse,0x7029fa77b000,0xd1fde,000000001fdf32c9,6,8.04834E+12,4964950
1752,pipewire-pulse,0x7029fa77c000,0xd4bdc,000000001fdf32c9,7,8.04834E+12,4968407
